<Hash=0xB412CAF>	One of us... One of us...
<Hash=0x2EAA394D>	That's a shame. Keep at it, and remember you can ask some other people if you need more clues.
<Hash=0x99E6AA8B>	LIBRARY! Of course! A million stories. You're a clever one. This must mean the steps are in the Library. Go and get the steps!
<Hash=0x9AE6AC1E>	Hm, you know I don't think that's quite right. Something about the order of the letters is wrong.
<Hash=0x28AA2FDB>	I don't think that's right, but I had a thought! A book has a story, but doesn't tell it. A million books would probably make a library though. Wait, the clue! LIBRARY! This must mean the steps are in the Library. Go and get the steps!
<Hash=0x513520F3>	Now, now ghouls, let's not go overboard! It's true that the New Ghoul has a smidgen of talent and is mildly entertaining to watch in action. However, she still has a long way to go before she can count herself one of the elite in the fearleading community. That said, you do all seem to work well as a team.

Good work ghouls, let's call it a day...

New Ghoul? Do you have a moment to chat?
<Hash=0x50351F60>	Ah my ghoul, thanks for staying back. I wanted to say that I was impressed with yesterday's performance in recovering three of the cosmic fearleading steps. So impressed in fact, that I have another extra-scare-icular assignment for you.

Do you think you're up to the task?
<Hash=0x52352286>	Don't you want to be an elite Fearleader?!
<Hash=0x5C353244>	There are no buts in Fearleading!!! You're either up to it or your not, in which case you shouldn't be wasting my time. So I ask you again, are you up to the task?!
<Hash=0xAF4D7B0F>	Oh my Ra!!! A bunch of clawsome stuff, but my favorite has to be this gold amulet. It's a priceless artifact that has been passed down from mom's side of the family for hundreds of years. It really rocks my style, dontcha think?!
<Hash=0xAC4D7656>	Best of all, the purple gemstones complement my eye shadow, they're simply stunning. I find it hard to take my eyes off them!
<Hash=0xAB4D74C3>	Whoa! I'm feeling a little woozy... You know what ghouls? I think I'm gonna call it a day, maybe go home and have a bit of a lie down. I tell you what. Since it is my birthday, why not treat yourselves and break early too. We can pick up our training tomorrow.
<Hash=0xCEBD7B01>	Good afternoon ghouls, hard at work, I see!
<Hash=0xC8BD718F>	I have little doubt it was. How are things coming along?
<Hash=0x36427B94>	SO, what's more than JUST a COINCIDENCE!!!
<Hash=0x2C426BD6>	So why are you ghouls yammering instead of practicing? You do know that the Monster Nationals are less than two weeks away?!! Don't you want to take out the trophy, rather than re-living the embarrassment of coming in 'runners up', like we did last year?!!!
<Hash=0x2E403065>	I don't need to explain myself to you or anyone else! If you must know I needed to see someone about a Pyramid, so I was running a bit late...
<Hash=0x2C402D3F>	What are you on about Clawdeen?! If you want to say something, just come right out and say it!
<Hash=0x2A402A19>	Oh, Clawdeen... I don't know where you hear this stuff from, but I've not talked to that nosy blogger in ages! You know that Spectra and I don't get along at the best of times, so I try to avoid her whenever I can . You're making absolutely no sense at all...

You know what? Think what you like! I'm not sticking around to listen to this. You guys, just better start taking your practice seriously. I'm outta here!!! New Ghoul, follow me. I want to talk to you...
<Hash=0x29402886>	Oooohhhh!!!! I'm soooo angry!! Those ghouls, they're just not taking this competition seriously. Spending their time chitchatting instead of practicing, it's gonna be a repeat of last year and I hate losing!

Look, I know you're new, but you've come through for me with the last two sets of cosmic fearleading steps. At the very least I can tell you're trying, which is more than I can say about everybody else.

So once again, I'm going to leave recovering the final set of moves in your capable hands. Can you do that for me?
<Hash=0x27402560>	Do. Or not do. There is no try!
<Hash=0x36403CFD>	OK... So, this one is really difficult. To solve the final clue that points to the location of the cosmic fearleading steps, you will really have to flex those 'mental muscles'. This trio of moves are the most complex of all. If we want to win, we will have to master Spirit Tuck, Herkie and Double Hook.
<Hash=0x35403B6A>	The riddle is, "I'm in the spot-light every night, but I've never put on a single performance. What am I?", the clue that goes with it is EGATS. Have you got the answer?
<Hash=0x293DE9EF>	That's understandable. Take your time, and don't forget that you can ask those... ghouls over there for some help.
<Hash=0x7A76AA8A>	STAGE!? Of course! A stage can't perform, even though the spot-light is always on it! Now where would a stage be in Monster High? Oh, the Auditorium! It must mean there! Go get those steps!
<Hash=0x7976A8F7>	Hmm, no that's not quite right. I have a feeling that you're close though.
<Hash=0x7876A764>	Hm, that doesn't seem right. EGA, STA.. Hm, wait.. ST... STAGE! The answer is stage! Now where would a stage be in Monster High? Oh, the Auditorium! It must mean there! Go get those steps!
<Hash=0x2A3DEB82>	Oh my Ra! You've done it! You're much more loyal than these other ghouls! I can't believe they would accuse me of something I haven't done! I'm leaving, tell those ghouls to practice without me.
<Hash=0x526AE305>	That's fangtastic work!!! How did you ever solve that riddle? It was a brain-buster! I'm so glad you came through, now we might actually have a chance of taking out the Monster Nationals Fearleading Trophy... That really would be something!
<Hash=0x7F3C3A0E>	Whatever do you mean, my dear ghouls? I haven't moved from this spot...
<Hash=0x803C3BA1>	Well my ghouls, it seems you're all flustered by the Fire Alarm going off. It's understandable, I suppose. I hazard to guess that continuing practice would be a total waste of time. Too much excitement for your pretty little heads to process, no doubt. Why don't you all head off home and get some rest. We'll meet up again for practice tomorrow at LUNCH...
<Hash=0x793C309C>	Sometimes, I wonder why I even try with these ghouls!
<Hash=0x506ADFDF>	What are you talking about?
<Hash=0x4E6ADCB9>	What about Spectra? You know we don't get along, I hardly ever even speak to that ghoul - don't want to end up in her blog! Why would you think I'd get upset over her?!
<Hash=0x4C6AD993>	Sure, what 'evs... Now onto important matters, time to get training ghouls. The Monster Nationals are just around the corner and we finally have the last three fearleading moves. Now we can practice the whole routine. Let's get to it!!!
<Hash=0x596AEE0A>	Come on ghouls, that's the fire alarm. Drop everything and get out of here!!
<Hash=0x80D148C0>	Oh, the newbie finally decided to grace us with her presence! Think you're too good for practice, are you?! Got time to waste on other school activities like the Council. Don't think I don't know that you spend more time there than you do here! Turn up to Fearleading Practice late again and I'll throw you off the team!!
<Hash=0xB975D1D0>	I don't know why I even bother, considering all the brain puffs you eat, you'd think that you'd be a bit smarter than that... I guess not!!!
<Hash=0xBA75D363>	WHAT!? Does anyone have something to say?
<Hash=0xBE75D9AF>	What's going on?! Why's everyone looking at me like that? Where's Ghoulia gone?
<Hash=0xC075DCD5>	But I didn't... I don't remember that...
<Hash=0xC275DFFB>	Oh no! What have I done?! I've gotta find her...
<Hash=0x82D14BE6>	NO TALKING!!! If you can fearlead and talk at the same time, you're not doing it hard enough! Come on ghouls, step it up, we can't afford to be sloppy. And you, that's shoddy form... Lift those arms up high... higher! That's it, feel the burn!!!
<Hash=0x85D1509F>	Yes! YES!!! THAT'S IT! Pure perfection!
<Hash=0x84D14F0C>	Wait... Where's my amulet? I've dropped it!!!
<Hash=0x86D15232>	WHAT DO YOU THINK YOU'RE DOING?!!!
<Hash=0x89D156EB>	NOOOO!!! That's mine, get away from me! Only Egyptian royalty may touch the amulet, how dare you put those grubby zombie mits on my birthday pres...
<Hash=0x68B4CE47>	HAVE YOU CONSIDERED MY ULTIMATUM??!!!
<Hash=0x66B4CB21>	TRAITORS!!! REBELS!!! BETRAYERS!!! HEED MY WORDS... YOU WILL ALL PAY FOR THIS INSOLENCE. NO ONE AT MONSTER HIGH WILL ESCAPE... AND BY THE MIGHTY SPHINX, QUEEN CLEOPATRA AND KING SPOOK'EM, WE WILL CURSE THIS SCHOOL, MAKING IT BOW TO OUR WILL!!!
<Hash=0xD687C71A>	Well, well... What do we have here? Four fearful fearleaders waiting for their Queen, like the four sides of a solitary Pyramid lost within the sands of the Sahara. Take away the base - that's me, if you didn't already guess - and it all comes tumbling down...

So ghouls, why have you summoned me from my increasingly busy schedule. I have Pharaohs to see and jewels to try on. What is so important that the fearleading team demand the Queen's majestic presence?!
<Hash=0xCA87B436>	ENOUGH!!! Royalty has no friends... I have NO problems other than the disobedient servants standing before me. I demand you do my bidding. Practice the cosmic fearleading routine immediately, so your Queen may be bestowed the golden trophy of Monster Nationals! Do so now or feel my wrath!!!
<Hash=0x1F0EE494>	Well, well... What do we have here?!
<Hash=0x220EE94D>	You'll have to do better than that my ghouls, if you hope to be fearleaders...
<Hash=0x140ED343>	Whatever do you mean? I'm the captain of the fearleading team! I'm here to put you ghouls through your paces...
<Hash=0x8A073E40>	What are you talking about silly ghoul?! No such thing happened yesterday. Did it, Clawdeen and Draculaura?!
<Hash=0x900747B2>	That's fine my dear. Take your time.
<Hash=0x92074AD8>	Oh, I didn't realize you were leaving too New Ghoul.
<Hash=0x100A4FC9>	Very well.
<Hash=0xB0093F3B>	One of us... One of us... One of us... One of us... One of us... One of us... One of us... One of us... One of us...
<Hash=0xBB2D2FB2>	Look, why don't we just kick this Spook'em's you-know-what'em?! I can't even talk reason to Cleo anymore, she's a completely different monster!

The same with all the cursed students. It's light's on, nobody's home! We've really gotta stop this crazy Pharaoh and save our friends!
<Hash=0x2921C813>	OK, I guess another day won't hurt.
<Hash=0xB92D2C8C>	How about if I remove my shades and go in blazing?!
<Hash=0xB72D2966>	Of course, not! But we can't just stand here doing nothing...
<Hash=0xD8E6C58E>	Calm down Catty, there's gotta be a way we can turn the tables and save all our friends. Hmmmm... Why don't we use what we know about his plan against him? We know, that they're hoping to do a mass cursing at the Fearleading Nationals. Specifically, after Cleo and her team of Cursed Fearleaders win the competition. So, we know exactly when and where they'll make their move. All we have to do is strike first. Stop them when they're least expecting it. That way, we'll have the element of surprise on our side!
<Hash=0x4DEE3982>	I'm the man with a plan! Now, I've just gotta sort out the deets!!!
<Hash=0x5E35E021>	That's where me and Clawd come in. We can run a 2 point trap defence on her and get that amulet out of her reach.
<Hash=0xC4437956>	Well, from the intel we know that my scary-sweet Cleo is under Spook'em's influence and she's the one with all the cursing mojo. If we want to defeat King Spook'em and protect the un-cursed students in the Gym, we're gonna have to slow her down. Lucky for us, I'm Cleo's biggest weakness! I've got that stoney glaze that rocks her world.
<Hash=0x3B3A994C>	You're up Clawd...
<Hash=0x3E3A9E05>	NOW NEW GHOUL! DO IT!!
